The graph BA3 has 1000 nodes and 2991 edges
BA3 1 / 84; |X|: 1, |Z|: 0; it: 1 DC
T: 0.9634830951690674; N: 0.49788570404052734BA3 1 / 84; |X|: 1, |Z|: 0; it: 2 DC
T: 0.21397113800048828; N: 0.08161473274230957BA3 1 / 84; |X|: 1, |Z|: 0; it: 3 DC
T: 0.19254207611083984; N: 0.08317375183105469BA3 1 / 84; |X|: 1, |Z|: 0; it: 4 DC
T: 0.29721832275390625; N: 0.1604444980621338BA3 1 / 84; |X|: 1, |Z|: 0; it: 5 DC
T: 0.30532240867614746; N: 0.18854975700378418BA3 1 / 84; |X|: 1, |Z|: 0; it: 6 DC
T: 0.6462886333465576; N: 0.18103384971618652BA3 1 / 84; |X|: 1, |Z|: 0; it: 7 DC
T: 0.29457879066467285; N: 0.2490828037261963BA3 1 / 84; |X|: 1, |Z|: 0; it: 8 DC
T: 0.30661749839782715; N: 0.1755223274230957BA3 1 / 84; |X|: 1, |Z|: 0; it: 9 DC
T: 0.33903074264526367; N: 0.0972900390625BA3 1 / 84; |X|: 1, |Z|: 0; it: 10 DC
T: 0.323500394821167; N: 0.1467297077178955BA3 1 / 84; |X|: 1, |Z|: 0; it: 11 DC
T: 0.31754112243652344; N: 0.12683987617492676BA3 1 / 84; |X|: 1, |Z|: 0; it: 12 DC
T: 0.30756688117980957; N: 0.1820526123046875BA3 1 / 84; |X|: 1, |Z|: 0; it: 13 DC
T: 0.32585740089416504; N: 0.17000198364257812BA3 1 / 84; |X|: 1, |Z|: 0; it: 14 DC
T: 0.39571523666381836; N: 0.16138601303100586BA3 1 / 84; |X|: 1, |Z|: 0; it: 15 DC
T: 0.2831406593322754; N: 0.13888812065124512BA3 1 / 84; |X|: 1, |Z|: 0; it: 16 DC
T: 0.3341529369354248; N: 0.11657905578613281BA3 1 / 84; |X|: 1, |Z|: 0; it: 17 DC
T: 0.3542792797088623; N: 0.27718520164489746BA3 1 / 84; |X|: 1, |Z|: 0; it: 18 DC
T: 0.29047346115112305; N: 0.1355888843536377BA3 1 / 84; |X|: 1, |Z|: 0; it: 19 DC
T: 0.25589942932128906; N: 0.13690495491027832BA3 1 / 84; |X|: 1, |Z|: 0; it: 20 DC
T: 0.2673501968383789; N: 0.12922120094299316BA3 1 / 84; |X|: 1, |Z|: 0; it: 21 DC
T: 0.23464512825012207; N: 0.07351851463317871BA3 1 / 84; |X|: 1, |Z|: 0; it: 22 DC
T: 0.34932684898376465; N: 0.19691157341003418BA3 1 / 84; |X|: 1, |Z|: 0; it: 23 DC
T: 0.2612128257751465; N: 0.07265758514404297BA3 1 / 84; |X|: 1, |Z|: 0; it: 24 DC
T: 0.21156740188598633; N: 0.08124303817749023BA3 1 / 84; |X|: 1, |Z|: 0; it: 25 DC
T: 0.21104860305786133; N: 0.27846503257751465BA3 1 / 84; |X|: 1, |Z|: 0; it: 26 DC
T: 0.3017730712890625; N: 0.09390711784362793BA3 1 / 84; |X|: 1, |Z|: 0; it: 27 DC
T: 0.21232151985168457; N: 0.2501087188720703BA3 1 / 84; |X|: 1, |Z|: 0; it: 28 DC
T: 0.6055755615234375; N: 0.196030855178833BA3 1 / 84; |X|: 1, |Z|: 0; it: 29 DC
T: 0.23865437507629395; N: 0.12344074249267578BA3 1 / 84; |X|: 1, |Z|: 0; it: 30 DC
T: 0.22935962677001953; N: 0.05945920944213867BA3 2 / 84; |X|: 1, |Z|: 1; it: 1 DC
T: 0.2985677719116211; N: 0.4332268238067627BA3 2 / 84; |X|: 1, |Z|: 1; it: 2 DC
T: 0.2766084671020508; N: 0.1555953025817871BA3 2 / 84; |X|: 1, |Z|: 1; it: 3 DC
T: 0.20920395851135254; N: 0.27960681915283203BA3 2 / 84; |X|: 1, |Z|: 1; it: 4 DC
T: 0.21602249145507812; N: 0.17648792266845703BA3 2 / 84; |X|: 1, |Z|: 1; it: 5 DC
T: 0.2111649513244629; N: 0.12372279167175293BA3 2 / 84; |X|: 1, |Z|: 1; it: 6 DC
T: 0.6625003814697266; N: 0.3099217414855957BA3 2 / 84; |X|: 1, |Z|: 1; it: 7 DC
T: 0.1671762466430664; N: 0.30233335494995117BA3 2 / 84; |X|: 1, |Z|: 1; it: 8 DC
T: 0.19930100440979004; N: 0.15678954124450684BA3 2 / 84; |X|: 1, |Z|: 1; it: 9 DC
T: 0.20236539840698242; N: 0.10619878768920898BA3 2 / 84; |X|: 1, |Z|: 1; it: 10 DC
T: 0.4336535930633545; N: 0.2226274013519287BA3 2 / 84; |X|: 1, |Z|: 1; it: 11 DC
T: 0.19089484214782715; N: 0.26064300537109375BA3 2 / 84; |X|: 1, |Z|: 1; it: 12 DC
T: 0.37581372261047363; N: 0.16817188262939453BA3 2 / 84; |X|: 1, |Z|: 1; it: 13 DC
T: 0.2389681339263916; N: 0.19884252548217773BA3 2 / 84; |X|: 1, |Z|: 1; it: 14 DC
T: 0.2689354419708252; N: 0.14193201065063477BA3 2 / 84; |X|: 1, |Z|: 1; it: 15 DC
T: 0.25797080993652344; N: 0.1327056884765625BA3 2 / 84; |X|: 1, |Z|: 1; it: 16 DC
T: 0.20737051963806152; N: 0.18615198135375977BA3 2 / 84; |X|: 1, |Z|: 1; it: 17 DC
